id,value
to-read,7636
classics,3368
currently-reading,3198
fiction,1312
favorites,699
classic,535
literature,322
owned,293
books-i-own,251
19th-century,235
dickens,228
victorian,199
historical-fiction,189
british,179
1001-books,178
charles-dickens,176
kindle,169
british-literature,137
mystery,133
novels,129
classics-to-read,125
classic-literature,120
1001,103
england,102
owned-books,97
historical,93
to-buy,90
library,84
ebook,79
to-read-classics,77
english,74
favourites,73
english-literature,70
novel,70
audiobooks,68
literary-fiction,67
audiobook,65
london,64
default,61
1001-books-to-read-before-you-die,60
ebooks,58
brit-lit,57
classic-fiction,55
wish-list,55
abandoned,51
bbc-big-read,51
british-lit,50
audio,49
my-library,48
literary,47
book-club,45
victorian-literature,44
bbc-top-100,42
unfinished,42
my-ebooks,40
my-books,40
1001-books-to-read,39
e-book,37
e-books,37
adult-fiction,34
bbc-100,33
nook,33
romance,33
audible,33
own-it,32
i-own,31
adult,30
law,30
1800s,30
1001-books-you-must-read-before-you,30
general-fiction,30
kindle-books,29
english-lit,29
gothic,29
on-hold,29
uk,28
the-classics,28
1001-import,27
to-read-fiction,26
school,25
lit,25
victoriana,23
personal-library,23
penguin-classics,22
audio-book,22
unread,22
legal,21
audio-books,21
history,21
drama,21
100-books-to-read-before-you-die,20
fiction-classics,20
books,20
did-not-finish,20
victorians,20
1001-to-read,20
victorian-lit,20
college,20
home-library,20
britain,20
