id,value
flare,
flare.analytics,
flare.analytics.cluster,
to-read,21443
currently-reading ,10892
science-fiction,9307
sci-fi,8021
favorites,5469
fiction,4054
fantasy,2632
flare.analytics.graph,
classics,1856
scifi,1782
owned,1204
sci-fi-fantasy,1010
sf,696
flare.animate,
series,547
books-i-own,518
classic,484
flare.data,
flare.analytics.optimization,
dune,468
scifi-fantasy,408
fantasy-sci-fi,379
flare.display,
default,339
space-opera,332
audiobook,297
flare.flex,
novels,292
favourites,291
science-fiction-fantasy,274
adventure,251
library,232
owned-books ,223
to-buy,222
audiobooks,221
kindle,212
flare.query,
speculative-fiction,206
epic,191
re-read,178
space,174
adult,171
science,170
literature,165
flare.scale,
sci-fi-and-fantasy,162
book-club,161
frank-herbert,158
abandoned,158
fantasy-scifi,142
novel,139
all-time-favorites,132
audio,127
flare.util,
audible,125
sf-fantasy,125
ebook,121
my-books,117
books,114
american,114
20th-century,112
my-library,111
favorite,109
wish-list,108
flare.vis,
unfinished,107
hugo-award,99
hugo,96
to-re-read,93
shelfari-favorites,91
religion,88
adult-fiction,88
english,86
science-fiction-and-fantasy,85
sff,85
favorite-books,83
recommended,82
nebula-award,80
flare.vis.data,
reread,80
did-not-finish,78
id,value
flare,
flare.analytics,
flare.analytics.cluster,
hugo-winners,77
sciencefiction,77
to-read-fiction,76
own-it,76
i-own,75
dystopia,74
ebooks,73
to-reread,73
on-hold,72
dystopian,71
nebula,69
flare.vis.events,
war,68
sf-masterworks,67
ciencia-ficcin,67
maybe,64
flare.vis.legend,
fantascienza,64
must-read,64
flare.vis.operator,
politics,64
audio-books,63
flare.vis.operator.encoder,
bbc-big-read,63
fantasy-and-sci-fi,61
sword-and-laser,59
flare.vis.operator.filter,
philosophy,58
classic-sci-fi,57
flare.vis.operator.label,
sf-f,57
read-again,57
read-in-2014,56
fantasy-science-fiction,56
read-in-2016,55
audio-book,55
flare.vis.operator.layout,
