id,value
clàssics, 1751
literature, 1576
gothic, 1280
historical, 982
19th-century, 833
to-read, 801
kindle, 778
novels, 708
british, 676
all-time-favorites, 545
1001-books, 545
victorian, 533
re-read, 527
my-ebooks, 487
historical-romance, 451
favorite-books, 437
england, 422
english, 405
i-own, 400
my-books, 344
favorite, 342
read-for-school, 330
feminism, 330
english-literature, 328
audiobook, 328
default, 321
ebook, 312
classic-lit, 309
ebooks, 297
1001, 297
audiobooks, 292
library, 290
mystery, 271
high-school, 268
drama, 267
the-classics, 255
own-it, 247
to-re-read, 236
to-read-classics, 233
shelfari-favorites, 229
for-school, 229
reread, 227
my-favorites, 225
audio, 222
brit-lit, 220
5-stars, 219
love, 207
women, 196
charlotte-bronte, 192
1001-books-to-read-before-you-die, 188
read-in-2016, 186
coming-of-age, 185
favourite, 176
read-in-2015, 176
british-lit, 173
literary, 170
on-my-shelf, 166
read-more-than-once, 165
faves, 161
read-in-2011, 160
young-adult, 156
female-authors, 155
tbr, 152
bronte, 143
to-reread, 142
read-in-2014, 142
favourite-books, 142
romantic, 139
e-books, 138
female-author, 137
audible, 131
must-read, 131
all-time-favourites, 130
read-in-2012, 129
classics-read, 129
kindle-books, 128
unfinished, 127
rory-gilmore-challenge, 127
home-library, 126
read-in-2013, 126
bildungsroman, 126
uk, 125
on-hold, 125
history, 124
fiction-classics, 123
abandoned, 121
read-in-english, 121
bookclub, 120
english-lit, 119
lit, 118
women-writers, 118
audio-books, 116
1001-books-you-must-read-before-you, 114
own-to-read, 111
re-reads, 109
e-book, 107
finished, 107
nook, 107
personal-library, 104
university, 104
