id,value
classics,1943
fiction,956
favorites,485
to-read,415
classic,296
literature,213
owned,186
books-i-own,180
victorian,154
19th-century,147
british,138
1001-books,133
novels,111
1001,86
historical-fiction,85
british-literature,76
classic-literature,72
owned-books,69
novel,65
default,65
england,63
1001-books-to-read-before-you-die,60
kindle,60
thomas-hardy,59
literary-fiction,57
currently-reading,55
favourites,55
english-literature,53
english,52
romance,50
to-buy,46
classics-to-read,46
classic-fiction,41
library,38
to-read-classics,38
school,36
hardy,36
adult-fiction,34
brit-lit,33
my-library,33
ebook,33
british-lit,33
historical,32
bbc-big-read,31
1001-books-you-must-read-before-you,29
uk,28
tragedy,28
1001-import,27
classic-lit,27
1800s,26
victorian-literature,25
1001-books-to-read,24
my-books,24
abandoned,24
i-own,23
university,22
own-it,21
lit,21
my-ebooks,21
ebooks,21
bbc-100,21
audiobook,20
wish-list,20
literary,20
english-lit,19
drama,19
e-book,18
unfinished,18
all-time-favorites,17
adult,17
1001-to-read,17
to-read-fiction,17
general-fiction,17
audiobooks,16
bbc-top-100,16
fiction-classics,15
bbc-list,15
audio,15
100-books-to-read-before-you-die,15
book-club,15
home-library,14
penguin-english-library,14
college,14
nook,14
favorite-books,14
shelfari-favorites,13
favorite,13
on-hold,13
depressing,13
bbc-100-books,13
the-classics,13
classic-novels,13
to-re-read,13
re-read,13
love,13
e-books,13
britain,13
books,13
bbc-book-challenge,12
read-for-school,12
