id,value
to-read,22356
classics,3317
currently-reading,1733
fiction,824
favorites,580
classic,475
romance,328
books-i-own,271
19th-century,260
owned,206
victorian,178
1001-books,173
historical-fiction,170
literature,148
british,141
favourites,117
kindle,109
gothic,102
british-literature,100
classics-to-read,98
classic-literature,97
to-buy,92
1001,88
owned-books,83
historical,79
england,77
book-club,75
novels,74
1001-books-to-read-before-you-die,68
bronte,67
feminism,67
to-read-classics,66
ebook,59
english-literature,54
brit-lit,53
classic-fiction,53
bronte-sisters,52
english,51
library,49
wish-list,42
brontes,42
audiobook,42
victorian-literature,41
audiobooks,40
british-lit,40
adult-fiction,39
novel,37
ebooks,37
1001-books-to-read,36
anne-bronte,36
female-authors,35
default,34
women,33
literary-fiction,33
epistolary,32
read-in-2016,31
my-ebooks,31
classic-lit,31
audio,30
the-classics,30
my-library,29
read-in-2015,28
own-it,28
1800s,28
uk,27
mystery,27
adult,26
women-writers,25
female-author,25
classics-tbr,24
1001-import,24
historical-romance,24
victorians,24
penguin-english-library,23
to-read-fiction,23
bookclub,23
drama,23
1001-books-you-must-read-before-you,23
read-in-2014,22
english-lit,22
e-book,22
re-read,22
19th-century-literature,21
my-books,20
i-own,20
1001-to-read,20
read-in-2012,19
tbr-classics,19
victorian-lit,19
tbr,18
e-books,18
britain,18
english-classics,17
classici,16
abandoned,16
british-classics,16
school,16
literary,16
read-2016,15
on-my-shelf,15
