id,value
classics,3974
currently-reading,3085
fiction,1323
to-read,1129
classic,604
favorites,513
books-i-own,378
owned,344
historical-fiction,286
literature,285
19th-century,220
kindle,204
1001-books,184
british,166
romance,165
classics-to-read,150
victorian,147
owned-books,126
classic-literature,123
british-literature,120
novels,116
1001,113
historical,111
rory-gilmore-reading-challenge,108
to-buy,93
england,91
english,91
to-read-classics,87
default,84
1001-books-to-read-before-you-die,79
library,77
classic-fiction,69
satire,69
rory-gilmore-challenge,65
ebooks,65
ebook,64
abandoned,63
unfinished,62
english-literature,61
book-club,59
favourites,58
my-library,58
classic-lit,55
literary-fiction,53
novel,53
audiobooks,52
my-books,50
british-lit,50
rory-gilmore,49
wish-list,48
audiobook,47
adult,45
brit-lit,44
1001-books-to-read,42
i-own,41
rory-gilmore-reading-list,40
my-ebooks,39
literary,36
to-read-fiction,35
gilmore-girls,35
home-library,34
adult-fiction,34
e-book,33
kindle-books,33
the-classics,33
uk,32
1800s,32
own-it,32
audio,32
bbc-big-read,32
victorian-literature,31
nook,30
1001-books-you-must-read-before-you,30
english-lit,29
drama,28
audible,27
e-books,27
own-to-read,26
classici,25
100-books-to-read-before-you-die,25
did-not-finish,25
history,25
didn-t-finish,25
london,24
humor,24
1001-import,23
social-commentary,23
on-kindle,23
dnf,23
general-fiction,22
bbc-100,22
to-read-owned,22
english-classics,22
school,22
on-hold,22
unread,22
owned-to-read,21
tbr-classics,21
must-read,21
have,20
